iterations,glo_lr,glo_weight_decay,glo_net_decay,glo_network_lr
1000,1.00E-05,1.00E-01,0,5.00E-05
1000,1.00E-05,1.00E-02,0,5.00E-05
1000,1.00E-05,1.00E-03,0,5.00E-05
1000,1.00E-05,1.00E-04,0,5.00E-05
1000,1.00E-05,1.00E-05,0,5.00E-05
1000,1.00E-05,1.00E-06,0,5.00E-05
1000,1.00E-05,0,1.00E-01,5.00E-05
1000,1.00E-05,0,1.00E-02,5.00E-05
1000,1.00E-05,0,1.00E-03,5.00E-05
1000,1.00E-05,0,1.00E-04,5.00E-05
1000,1.00E-05,0,1.00E-05,5.00E-05
1000,1.00E-05,0,1.00E-06,5.00E-05
1000,1.00E-05,0,0,1.00E-05
1000,1.00E-05,0,0,1.00E-04

