glo_dim,glo_net_decay,glo_weight_decay,gpu_id,iterations,output_folder,psnr,test_LPIPS,test_PSNR,test_SSIM
0,0,0,0,10000,output/i10000_gwd0_gnd0_gd0,29.064224106768958,0.18188044428825378,29.793691635131836,0.9341214895248413

128,1.00E-06,1.00E+00,0,10000,output/i10000_gwd1.00E+00_gnd1.00E-06_gd128,29.003035612315596,0.17913563549518585,30.04145050048828,0.9361096024513245
128,1.00E-06,1.00E+01,0,10000,output/i10000_gwd1.00E+01_gnd1.00E-06_gd128,29.115545607713184,0.18178260326385498,29.890182495117188,0.9351130127906799
128,1.00E-06,1.00E+02,0,10000,output/i10000_gwd1.00E+02_gnd1.00E-06_gd128,28.97388031613266,0.18352922797203064,29.80033302307129,0.9341756701469421
128,1.00E-06,1.00E+03,0,10000,output/i10000_gwd1.00E+03_gnd1.00E-06_gd128,29.14546002853573,0.18114635348320007,29.885122299194336,0.9352905750274658

128,1.00E-05,1.00E-01,0,10000,output/i10000_gwd1.00E-01_gnd1.00E-05_gd128,29.06780168005343,0.1805252581834793,29.746780395507812,0.93445885181427
128,1.00E-04,1.00E-01,0,10000,output/i10000_gwd1.00E-01_gnd1.00E-04_gd128,30.214748362100153,0.18331772089004517,29.321067810058594,0.9308677911758423
128,1.00E-03,1.00E-01,0,10000,output/i10000_gwd1.00E-01_gnd1.00E-03_gd128,30.236460965829465,0.18461625277996063,29.186044692993164,0.9302485585212708
128,1.00E-02,1.00E-01,0,10000,output/i10000_gwd1.00E-01_gnd1.00E-02_gd128,29.05916475472435,0.18125829100608826,29.955280303955078,0.9353145956993103
