glo_lr,glo_net_decay,glo_network_lr,glo_weight_decay,gpu_id,iterations,output_folder,psnr,test_LPIPS,test_PSNR,test_SSIM
1.00E-05,0,5.00E-05,1.00E-01,0,1000,output/i1000_gl1.00E-05_gwd1.00E-01_gnd0_gnl5.00E-05,22.321148568074403,0.4662608206272125,22.534990310668945,0.6140039563179016
1.00E-05,0,5.00E-05,1.00E-02,0,1000,output/i1000_gl1.00E-05_gwd1.00E-02_gnd0_gnl5.00E-05,22.341921823657756,0.4622437655925751,22.58531951904297,0.6154510378837585
1.00E-05,0,5.00E-05,1.00E-03,0,1000,output/i1000_gl1.00E-05_gwd1.00E-03_gnd0_gnl5.00E-05,22.316444235480578,0.4681025743484497,22.523157119750977,0.6125233769416809
1.00E-05,0,5.00E-05,1.00E-04,0,1000,output/i1000_gl1.00E-05_gwd1.00E-04_gnd0_gnl5.00E-05,22.330480099160347,0.4667222797870636,22.602319717407227,0.6149128079414368
1.00E-05,0,5.00E-05,1.00E-05,0,1000,output/i1000_gl1.00E-05_gwd1.00E-05_gnd0_gnl5.00E-05,22.314752526939692,0.4659017324447632,22.56122398376465,0.6133688688278198
1.00E-05,0,5.00E-05,1.00E-06,0,1000,output/i1000_gl1.00E-05_gwd1.00E-06_gnd0_gnl5.00E-05,22.327731902552443,0.46416032314300537,22.674779891967773,0.6164591908454895
1.00E-05,1.00E-01,5.00E-05,0,0,1000,output/i1000_gl1.00E-05_gwd0_gnd1.00E-01_gnl5.00E-05,22.314044131263337,0.4659741222858429,22.653173446655273,0.6138647198677063
1.00E-05,1.00E-02,5.00E-05,0,0,1000,output/i1000_gl1.00E-05_gwd0_gnd1.00E-02_gnl5.00E-05,22.213123399599283,0.46610358357429504,22.591054916381836,0.6130121350288391
1.00E-05,1.00E-03,5.00E-05,0,0,1000,output/i1000_gl1.00E-05_gwd0_gnd1.00E-03_gnl5.00E-05,22.28542382625813,0.46523773670196533,22.71226692199707,0.6160446405410767
1.00E-05,1.00E-04,5.00E-05,0,0,1000,output/i1000_gl1.00E-05_gwd0_gnd1.00E-04_gnl5.00E-05,22.33412348702368,0.4658380448818207,22.535688400268555,0.6121792197227478
1.00E-05,1.00E-05,5.00E-05,0,0,1000,output/i1000_gl1.00E-05_gwd0_gnd1.00E-05_gnl5.00E-05,22.35764350994093,0.4647984504699707,22.623672485351562,0.6139487624168396
1.00E-05,1.00E-06,5.00E-05,0,0,1000,output/i1000_gl1.00E-05_gwd0_gnd1.00E-06_gnl5.00E-05,22.256662272444725,0.4649765193462372,22.632843017578125,0.6124785542488098
1.00E-05,0,1.00E-05,0,0,1000,output/i1000_gl1.00E-05_gwd0_gnd0_gnl1.00E-05,22.388592592509397,0.4651923179626465,22.610994338989258,0.6157323718070984
1.00E-05,0,1.00E-04,0,0,1000,output/i1000_gl1.00E-05_gwd0_gnd0_gnl1.00E-04,22.39794457045434,0.4648001492023468,22.4309024810791,0.6168822646141052
