color_lr,iterations,output_folder,gradient_lr,gpu_id,psnr,test_LPIPS,g_init,test_SSIM,density_lr,sh_lr,s_init,error,c_init,test_PSNR,d_init
3.00E-03,5000,output/si1.00E-04_di0.1_ci0.6_gi1_gl3.00E-03_cl3.00E-03_dl3.00E-03_sl3.00E-03_i5000,3.00E-03,0,21.011782710337087,0.4806613028049469,1,0.5915372967720032,3.00E-03,3.00E-03,1.00E-04,,0.6,22.579309463500977,0.1
2.00E-03,5000,output/si1.00E-04_di0.1_ci0.6_gi1_gl2.00E-03_cl2.00E-03_dl2.00E-03_sl2.00E-03_i5000,2.00E-03,0,21.151258124656998,0.45817479491233826,1,0.6125361919403076,2.00E-03,2.00E-03,1.00E-04,,0.6,22.987661361694336,0.1
1.00E-03,5000,output/si1.00E-04_di0.1_ci0.6_gi1_gl1.00E-03_cl1.00E-03_dl1.00E-03_sl1.00E-03_i5000,1.00E-03,0,21.255416206774736,0.4470314681529999,1,0.6182393431663513,1.00E-03,1.00E-03,1.00E-04,,0.6,22.979162216186523,0.1
9.00E-04,5000,output/si1.00E-04_di0.1_ci0.6_gi1_gl9.00E-04_cl9.00E-04_dl9.00E-04_sl9.00E-04_i5000,9.00E-04,0,21.254722715481684,0.45110833644866943,1,0.6203951835632324,9.00E-04,9.00E-04,1.00E-04,,0.6,22.993694305419922,0.1
8.00E-04,5000,output/si1.00E-04_di0.1_ci0.6_gi1_gl8.00E-04_cl8.00E-04_dl8.00E-04_sl8.00E-04_i5000,8.00E-04,0,21.206127380062593,0.4513431191444397,1,0.612764835357666,8.00E-04,8.00E-04,1.00E-04,,0.6,22.947338104248047,0.1
1.00E-03,5000,output/si5.00E-04_di0.1_ci0.6_gi1_gl1.00E-03_cl1.00E-03_dl1.00E-03_sl1.00E-03_i5000,1.00E-03,0,21.263230792397103,0.4517197906970978,1,0.6202507019042969,1.00E-03,1.00E-03,5.00E-04,,0.6,22.83824920654297,0.1
1.00E-03,5000,output/si1.00E-03_di0.1_ci0.6_gi1_gl1.00E-03_cl1.00E-03_dl1.00E-03_sl1.00E-03_i5000,1.00E-03,0,21.180171988080396,0.4522091746330261,1,0.6212459802627563,1.00E-03,1.00E-03,1.00E-03,,0.6,23.139080047607422,0.1
1.00E-03,5000,output/si5.00E-03_di0.1_ci0.6_gi1_gl1.00E-03_cl1.00E-03_dl1.00E-03_sl1.00E-03_i5000,1.00E-03,0,21.25564271734636,0.45140209794044495,1,0.6203998327255249,1.00E-03,1.00E-03,5.00E-03,,0.6,23.108091354370117,0.1
1.00E-03,5000,output/si1.00E-04_di5.00E-02_ci0.6_gi1_gl1.00E-03_cl1.00E-03_dl1.00E-03_sl1.00E-03_i5000,1.00E-03,0,21.25402016269074,0.44740334153175354,1,0.6127689480781555,1.00E-03,1.00E-03,1.00E-04,,0.6,22.54513168334961,5.00E-02
1.00E-03,5000,output/si1.00E-04_di1.00E-02_ci0.6_gi1_gl1.00E-03_cl1.00E-03_dl1.00E-03_sl1.00E-03_i5000,1.00E-03,0,21.25794537566506,0.46188807487487793,1,0.6200854778289795,1.00E-03,1.00E-03,1.00E-04,,0.6,23.01738739013672,1.00E-02
1.00E-03,5000,output/si1.00E-04_di0.5_ci0.6_gi1_gl1.00E-03_cl1.00E-03_dl1.00E-03_sl1.00E-03_i5000,1.00E-03,0,21.194384939406024,0.45223817229270935,1,0.6172203421592712,1.00E-03,1.00E-03,1.00E-04,,0.6,23.014528274536133,0.5
1.00E-03,5000,output/si1.00E-04_di0.1_ci0.4_gi1_gl1.00E-03_cl1.00E-03_dl1.00E-03_sl1.00E-03_i5000,1.00E-03,0,21.289463474739623,0.44848451018333435,1,0.6223841309547424,1.00E-03,1.00E-03,1.00E-04,,0.4,23.127418518066406,0.1
1.00E-03,5000,output/si1.00E-04_di0.1_ci0.8_gi1_gl1.00E-03_cl1.00E-03_dl1.00E-03_sl1.00E-03_i5000,1.00E-03,0,21.233526293279592,0.4515554904937744,1,0.6226844787597656,1.00E-03,1.00E-03,1.00E-04,,0.8,23.171165466308594,0.1
1.00E-03,5000,output/si1.00E-04_di0.1_ci0.2_gi1_gl1.00E-03_cl1.00E-03_dl1.00E-03_sl1.00E-03_i5000,1.00E-03,0,21.21915965875162,0.45611220598220825,1,0.613200843334198,1.00E-03,1.00E-03,1.00E-04,,0.2,23.07416534423828,0.1
1.00E-03,5000,output/si1.00E-04_di0.1_ci0.6_gi1.00E-01_gl1.00E-03_cl1.00E-03_dl1.00E-03_sl1.00E-03_i5000,1.00E-03,0,,,1.00E-01,,1.00E-03,1.00E-03,1.00E-04,Process failed and no JSON output file found,0.6,,0.1
1.00E-03,5000,output/si1.00E-04_di0.1_ci0.6_gi1.00E-02_gl1.00E-03_cl1.00E-03_dl1.00E-03_sl1.00E-03_i5000,1.00E-03,0,,,1.00E-02,,1.00E-03,1.00E-03,1.00E-04,Process failed and no JSON output file found,0.6,,0.1
1.00E-03,5000,output/si1.00E-04_di0.1_ci0.6_gi10_gl1.00E-03_cl1.00E-03_dl1.00E-03_sl1.00E-03_i5000,1.00E-03,0,21.07850957990912,0.4776790738105774,10,0.5928897261619568,1.00E-03,1.00E-03,1.00E-04,,0.6,22.4802303314209,0.1
