threshold_start	iterations	densify_end	freeze_start	densify_interval	spike_duration
4500	30000	16000	18000	500	500
2500	30000	16000	18000	500	500
6500	30000	16000	18000	500	500
10500	30000	16000	18000	500	500
14000	30000	16000	18000	500	500
4500	22000	16000	18000	500	500
4500	26000	16000	18000	500	500
4500	36000	16000	18000	500	500
4500	26000	10000	12000	500	500
4500	26000	10000	12000	250	250
4500	26000	10000	12000	100	100
4500	32000	16000	18000	100	100
4500	22000	6000	8000	250	250
4500	22000	6000	8000	100	100
