Scene,Resolution,Average FPS
bicycle,test,26.795699199509357
bicycle,1080p,21.0017625380548
bicycle,2k,16.11464620657064
bicycle,4k,9.851334084930476
flowers,test,23.357747482847724
flowers,1080p,17.480491118687016
flowers,2k,13.325318812308982
flowers,4k,8.040163398630165
garden,test,34.1547356334943
garden,1080p,27.15603553207469
garden,2k,20.58645044443681
garden,4k,12.345738026767764
stump,test,36.314005939342515
stump,1080p,27.710782241014797
stump,2k,20.904104263749407
stump,4k,12.442203124860947
treehill,test,30.324069521964198
treehill,1080p,23.948976503839894
treehill,2k,18.079753781429293
treehill,4k,10.81851033152178
counter,test,51.000778210116735
counter,1080p,22.63923958395181
counter,2k,15.103777831392984
counter,4k,7.87446822091971
room,test,79.74416791832233
room,1080p,44.38322998455059
room,2k,31.282100238663485
room,4k,17.120376833245576
kitchen,test,63.546209320647236
kitchen,1080p,30.571842997193777
kitchen,2k,20.936555951560894
kitchen,4k,11.179772315942948
bonsai,test,76.97383006056157
bonsai,1080p,42.1483022318692
bonsai,2k,29.66961171984975
bonsai,4k,16.34581719265154
truck,test,N/A
truck,1080p,N/A
truck,2k,N/A
truck,4k,N/A
train,test,N/A
train,1080p,N/A
train,2k,N/A
train,4k,N/A
drjohnson,test,N/A
drjohnson,1080p,N/A
drjohnson,2k,N/A
drjohnson,4k,N/A
playroom,test,N/A
playroom,1080p,N/A
playroom,2k,N/A
playroom,4k,N/A
