Scene,Resolution,Average FPS
bicycle,test,208.55
bicycle,1080p,190.762
bicycle,2k,166.663
bicycle,4k,122.846
flowers,test,149.477
flowers,1080p,140.274
flowers,2k,125.069
flowers,4k,94.2804
garden,test,287.887
garden,1080p,261.97
garden,2k,227.867
garden,4k,164.772
stump,test,277.813
stump,1080p,248.792
stump,2k,213.817
stump,4k,152.911
treehill,test,282.536
treehill,1080p,256.221
treehill,2k,217.939
treehill,4k,148.987
counter,test,297.523
counter,1080p,275.647
counter,2k,221.435
counter,4k,142.838
room,test,519.817
room,1080p,487.834
room,2k,387.301
room,4k,243.597
kitchen,test,311.994
kitchen,1080p,289.852
kitchen,2k,231.898
kitchen,4k,153.402
bonsai,test,405.001
bonsai,1080p,379.293
bonsai,2k,311.294
bonsai,4k,206.637
truck,test,338.786
truck,1080p,342.949
truck,2k,262.895
truck,4k,159.129
train,test,205.79
train,1080p,207.514
train,2k,162.176
train,4k,103.076
drjohnson,test,556.091
drjohnson,1080p,481.747
drjohnson,2k,386.366
drjohnson,4k,245.51
playroom,test,797.655
playroom,1080p,661.103
playroom,2k,523.082
playroom,4k,321.849
