dataset_path,gpu_id,image_folder,output_folder,psnr,test_LPIPS,test_PSNR,test_SSIM
/data/nerf_datasets/360/bicycle,0,images_4,output/bicycle_ifimages_4_r44_wt1.75,24.19745037274069,0.31247591972351074,24.725168228149414,0.732933521270752
/data/nerf_datasets/360/garden,0,images_4,output/garden_ifimages_4_r44_wt1.75,26.898768029174875,0.18410062789916992,26.584863662719727,0.8335983753204346
/data/nerf_datasets/360/stump,0,images_4,output/stump_ifimages_4_r44_wt1.75,27.889346153569555,0.2964944839477539,25.924943923950195,0.7492933869361877
/data/nerf_datasets/360/treehill,0,images_4,output/treehill_ifimages_4_r44_wt1.75,23.423254394856137,0.38153597712516785,22.598339080810547,0.6383373737335205
/data/nerf_datasets/360/flowers,0,images_4,output/flowers_ifimages_4_r44_wt1.75,23.740403289720064,0.3447462022304535,21.327667236328125,0.6137852668762207
/data/nerf_datasets/360/room,0,images_2,output/room_ifimages_2_r44_wt1.75,32.333783109908524,0.3172970414161682,30.835506439208984,0.9136196970939636
/data/nerf_datasets/360/counter,0,images_2,output/counter_ifimages_2_r44_wt1.75,29.99240434142327,0.2710273861885071,28.795740127563477,0.9026249051094055
/data/nerf_datasets/360/kitchen,0,images_2,output/kitchen_ifimages_2_r44_wt1.75,30.85548680042456,0.18130722641944885,30.712203979492188,0.9175336360931396
/data/nerf_datasets/360/bonsai,0,images_2,output/bonsai_ifimages_2_r44_wt1.75,31.690090022079488,0.2691206932067871,31.356613159179688,0.9353815317153931
/data/nerf_datasets/tandt/train,0,images,output/train_ifimages_r44_wt1.75,25.307899526599396,0.2547737658023834,21.674137115478516,0.822394609451294
/data/nerf_datasets/tandt/truck,0,images,output/truck_ifimages_r44_wt1.75,25.648650554154738,0.20164267718791962,24.482202529907227,0.872684121131897
/data/nerf_datasets/db/drjohnson,0,images,output/drjohnson_ifimages_r44_wt1.75,33.776604183209734,0.37319108843803406,29.180112838745117,0.9007679224014282
/data/nerf_datasets/db/playroom,0,images,output/playroom_ifimages_r44_wt1.75,34.451761812983776,0.3471515476703644,30.03814125061035,0.9082620739936829
